epoch,step,train_loss_Ph,train_loss_W,train_nonsucc_W,train_reconstr_Ph,train_reconstr_W,train_sparsity_Ph
0,49,701.086669921875,1143.1690673828125,929.8919067382812,698.5327758789062,678.22314453125,5.10784912109375
1,99,364.79132080078125,821.9912719726562,916.0899047851562,364.13018798828125,363.9463195800781,1.3222476243972778
1,149,310.7684631347656,785.6773071289062,950.404541015625,310.4288635253906,310.47503662109375,0.6791789531707764
2,199,293.9209289550781,733.993408203125,882.5845336914062,293.4003601074219,292.701171875,1.0411263704299927
2,249,283.5613098144531,753.1516723632812,942.5113525390625,283.0813293457031,281.89599609375,0.9599741697311401
3,299,352.3359375,789.3319091796875,875.8119506835938,351.86737060546875,351.4259338378906,0.9371485114097595
3,349,352.69708251953125,784.32373046875,872.046630859375,352.3633728027344,348.3003845214844,0.6674270033836365
4,399,319.1678161621094,732.65625,831.3624877929688,318.638916015625,316.9749755859375,1.0578044652938843
4,449,14.411020278930664,41.74614334106445,55.41107940673828,14.04969596862793,14.040603637695312,0.7226479649543762
5,499,268.72076416015625,651.9893188476562,771.08837890625,268.2535400390625,266.44512939453125,0.9344614744186401
6,549,320.64599609375,698.9564819335938,767.700439453125,320.13299560546875,315.10626220703125,1.0260027647018433
6,599,313.2969055175781,707.6861572265625,790.4921875,312.9175109863281,312.4400634765625,0.7587935924530029
7,649,291.20269775390625,658.1759033203125,735.8291625976562,290.6356201171875,290.26129150390625,1.134162425994873
7,699,277.08660888671875,667.4595947265625,783.248291015625,276.6007385253906,275.8354797363281,0.9717239141464233
8,749,348.451171875,713.6752319335938,732.2001342773438,347.92474365234375,347.5751647949219,1.052834391593933
8,799,345.1724853515625,702.4067993164062,720.7303466796875,344.7839660644531,342.0416259765625,0.7770565152168274
9,849,319.84112548828125,662.5491943359375,688.5300903320312,319.25506591796875,318.2841491699219,1.1721190214157104
9,899,14.540081977844238,37.03726577758789,45.71611785888672,14.141724586486816,14.179205894470215,0.7967144250869751
