epoch,step,train_loss_Ph,train_loss_W,train_nonsucc_W,train_reconstr_Ph,train_reconstr_W,train_sparsity_Ph
0,49,465.6853942871094,755.4629516601562,604.8296508789062,464.40533447265625,453.0481262207031,2.5601305961608887
1,99,317.9773254394531,601.6357421875,569.1349487304688,317.5294189453125,317.0682373046875,0.8957909345626831
1,149,294.2413024902344,567.312255859375,548.4535522460938,293.887939453125,293.08551025390625,0.7067439556121826
2,199,299.5532531738281,561.529052734375,525.31982421875,299.03656005859375,298.869140625,1.0333948135375977
2,249,302.3113708496094,581.8206176757812,559.1860961914062,301.7871398925781,302.2275695800781,1.0484716892242432
3,299,344.55902099609375,615.084716796875,542.8474731445312,343.98199462890625,343.66094970703125,1.154036045074463
3,349,333.5265197753906,602.693359375,543.8726806640625,333.1282958984375,330.75701904296875,0.7964515686035156
4,399,312.5751647949219,566.3560791015625,510.04119873046875,312.0653076171875,311.3354797363281,1.0197292566299438
4,449,15.261073112487793,32.43364334106445,34.958797454833984,14.885595321655273,14.954245567321777,0.7509562969207764
5,499,268.5984802246094,522.107666015625,508.7413635253906,268.12005615234375,267.7369689941406,0.9568246006965637
6,549,317.37176513671875,556.7286376953125,481.81793212890625,316.8954162597656,315.8196716308594,0.9526744484901428
6,599,306.7508850097656,532.736328125,454.60626220703125,306.29388427734375,305.4332275390625,0.9140158295631409
7,649,288.5977478027344,507.08575439453125,439.196044921875,287.98089599609375,287.48773193359375,1.233679175376892
7,699,282.0439758300781,514.625244140625,466.2086181640625,281.56890869140625,281.5209045410156,0.9501547813415527
8,749,331.29925537109375,559.581298828125,458.2876281738281,330.72882080078125,330.4374694824219,1.1408859491348267
8,799,320.6607360839844,546.822265625,457.16705322265625,320.26019287109375,318.2387390136719,0.8010977506637573
9,849,317.93341064453125,529.4313354492188,424.5809020996094,317.342529296875,317.1408996582031,1.181791067123413
9,899,15.623678207397461,29.784404754638672,28.988733291625977,15.190540313720703,15.290037155151367,0.8662757873535156
