epoch,step,train_loss_Ph,train_loss_W,train_nonsucc_W,train_reconstr_Ph,train_reconstr_W,train_sparsity_Ph
0,49,881.3546752929688,1334.1455078125,980.4373779296875,877.6956176757812,843.9267578125,7.318117141723633
1,99,338.3860778808594,816.1384887695312,947.7752685546875,337.8089904785156,342.2508544921875,1.1541779041290283
1,149,317.2757263183594,781.1650390625,928.4346923828125,316.8938293457031,316.9476623535156,0.7637656927108765
2,199,301.1056213378906,758.8172607421875,918.5383911132812,300.5805969238281,299.548095703125,1.0500571727752686
2,249,280.30841064453125,725.4866333007812,892.4189453125,279.8564453125,279.27716064453125,0.9039030075073242
3,299,353.97735595703125,809.21728515625,912.9442749023438,353.51129150390625,352.74517822265625,0.9321151971817017
3,349,344.4701843261719,773.175537109375,864.9307861328125,344.13189697265625,340.7101745605469,0.6765727996826172
4,399,424.8684997558594,845.128173828125,843.11669921875,423.8559875488281,423.56982421875,2.0250449180603027
4,449,21.00738525390625,48.548397064208984,56.63798141479492,20.31636619567871,20.229406356811523,1.3820381164550781
5,499,285.80560302734375,693.0111083984375,819.5672607421875,285.2654113769531,283.2274475097656,1.0803673267364502
6,549,322.028076171875,717.8591918945312,798.5921630859375,321.5065612792969,318.5631103515625,1.0430413484573364
6,599,296.2544250488281,680.3639526367188,770.4423828125,295.8595275878906,295.14276123046875,0.7898085117340088
7,649,298.1178283691406,682.944580078125,772.3343505859375,297.54669189453125,296.7774353027344,1.142285704612732
7,699,280.4013671875,647.6749267578125,736.9886474609375,279.91314697265625,279.18060302734375,0.9764543771743774
8,749,351.02313232421875,733.9840087890625,768.3927001953125,350.5025939941406,349.7876892089844,1.0410704612731934
8,799,408.0522766113281,761.817626953125,712.3451538085938,407.1883850097656,405.6450500488281,1.7277785539627075
9,849,410.0334777832031,757.9273681640625,700.56689453125,408.98858642578125,407.6439208984375,2.0897598266601562
9,899,23.10364532470703,45.819908142089844,47.18098068237305,22.22404670715332,22.229415893554688,1.7591986656188965
