epoch,step,train_loss_Ph,train_loss_W,train_nonsucc_W,train_reconstr_Ph,train_reconstr_W,train_sparsity_Ph
0,49,857.595947265625,1308.89892578125,958.2987670898438,854.1477661132812,829.7495727539062,6.896395206451416
1,99,486.3880615234375,954.4351806640625,932.8695678710938,485.925537109375,488.0003662109375,0.9250277280807495
1,149,534.7750854492188,993.025390625,916.777099609375,534.4708862304688,534.6368408203125,0.6084468960762024
2,199,327.8668518066406,804.7131958007812,954.688720703125,327.38519287109375,327.36883544921875,0.9633135199546814
2,249,501.9012145996094,958.7532958984375,916.9904174804688,501.4646911621094,500.2580871582031,0.8730564713478088
3,299,518.8551635742188,983.0255126953125,930.4851684570312,518.3964233398438,517.7828979492188,0.9174264669418335
3,349,344.6900939941406,769.8984375,855.5733032226562,344.3825378417969,342.1117858886719,0.6150913834571838
4,399,362.8822326660156,801.13037109375,878.7108764648438,362.39471435546875,361.7749328613281,0.9750622510910034
4,449,14.093531608581543,39.044151306152344,50.72098922729492,13.77414321899414,13.683658599853516,0.6387766599655151
5,499,419.04052734375,817.315185546875,800.1050415039062,418.609375,417.2626647949219,0.8623210787773132
6,549,485.9281921386719,874.250732421875,783.7032470703125,485.4481506347656,482.3990783691406,0.9601020216941833
6,599,534.7006225585938,914.6827392578125,760.5626220703125,534.3767700195312,534.4014282226562,0.6476949453353882
7,649,327.29644775390625,728.838623046875,804.5355224609375,326.7584533691406,326.57086181640625,1.0759775638580322
7,699,500.00518798828125,878.2717895507812,759.1910400390625,499.54071044921875,498.67626953125,0.9289771318435669
8,749,518.5064697265625,908.67529296875,783.3889770507812,517.9808349609375,516.9808349609375,1.0513023138046265
8,799,337.7871398925781,690.282470703125,708.02001953125,337.42803955078125,336.2724914550781,0.7181898355484009
9,849,363.36114501953125,728.0416870117188,732.8016357421875,362.8366394042969,361.640869140625,1.0490072965621948
9,899,14.04818058013916,34.193092346191406,41.13471221923828,13.697137832641602,13.625736236572266,0.7020857334136963
