epoch,step,train_loss_Ph,train_loss_W,train_nonsucc_W,train_reconstr_Ph,train_reconstr_W,train_sparsity_Ph
0,49,847.3966064453125,1290.428466796875,957.9170532226562,844.0307006835938,811.469970703125,6.731750965118408
1,99,321.9195556640625,809.57421875,982.7118530273438,321.4136962890625,318.21832275390625,1.011709213256836
1,149,331.2076721191406,785.802978515625,915.7194213867188,330.7319030761719,327.9432373046875,0.9515467286109924
2,199,302.5234069824219,759.9647216796875,916.7355346679688,302.00543212890625,301.5969543457031,1.0359680652618408
2,249,304.9734802246094,752.704833984375,900.0018920898438,304.4125061035156,302.7038879394531,1.1219712495803833
3,299,349.4886169433594,783.1176147460938,869.0924072265625,349.04205322265625,348.5714111328125,0.8931075930595398
3,349,343.7675476074219,796.6961669921875,915.825439453125,343.4317626953125,338.7834167480469,0.6715744733810425
4,399,387.49151611328125,790.7249755859375,813.3614501953125,386.6278991699219,384.0442199707031,1.7272197008132935
4,449,16.71678352355957,42.763397216796875,53.0849723815918,16.263160705566406,16.22091293334961,0.9072469472885132
5,499,270.7184753417969,668.97998046875,798.4992065429688,270.2241516113281,269.73040771484375,0.9886281490325928
6,549,320.0897216796875,733.258544921875,831.0419921875,319.5776672363281,317.7375793457031,1.024083137512207
6,599,381.52496337890625,758.0946044921875,758.77392578125,380.77178955078125,378.7076721191406,1.5063295364379883
7,649,311.4760437011719,695.8078002929688,771.0643310546875,310.77960205078125,310.275634765625,1.3928896188735962
7,699,285.4425048828125,656.6573486328125,745.3077392578125,284.9504089355469,284.00347900390625,0.9841713309288025
8,749,344.6432800292969,707.2672729492188,726.8148193359375,344.13525390625,343.85986328125,1.0160548686981201
8,799,323.4255065917969,699.3369140625,758.2307739257812,323.0270080566406,320.2215576171875,0.7970148324966431
9,849,315.27044677734375,648.3842163085938,670.90185546875,314.7037658691406,312.93328857421875,1.1333568096160889
9,899,16.35874366760254,37.592830657958984,43.489261627197266,15.88608455657959,15.848199844360352,0.9453163743019104
