epoch,step,train_loss_Ph,train_loss_W,train_nonsucc_W,train_reconstr_Ph,train_reconstr_W,train_sparsity_Ph
0,49,641.4050903320312,931.5340576171875,612.5380249023438,639.3546142578125,625.2650756835938,4.100939750671387
1,99,326.2984313964844,606.7836303710938,567.1685791015625,325.88055419921875,323.1993408203125,0.8357843160629272
1,149,299.1964416503906,576.8187866210938,557.6668090820312,298.8202209472656,297.9853820800781,0.7524446249008179
2,199,301.593505859375,575.6353149414062,549.37548828125,301.0755615234375,300.94757080078125,1.0358976125717163
2,249,277.30059814453125,566.9190673828125,580.7423706054688,276.88873291015625,276.54791259765625,0.8237338662147522
3,299,340.743896484375,606.4680786132812,533.0424194335938,340.22186279296875,339.9468688964844,1.0440717935562134
3,349,342.4429016113281,610.8095703125,541.076171875,342.0636291503906,340.2714538574219,0.7585302591323853
4,399,320.32501220703125,575.0225830078125,512.6708374023438,319.83599853515625,318.6871337890625,0.9780000448226929
4,449,15.162818908691406,31.814542770385742,33.94588851928711,14.806224822998047,14.841598510742188,0.7131878733634949
5,499,268.4308776855469,526.5225219726562,517.2913818359375,267.96881103515625,267.8768310546875,0.9241569638252258
6,549,321.73077392578125,561.802978515625,484.184814453125,321.2703552246094,319.7106018066406,0.9208557605743408
6,599,307.8008117675781,540.22607421875,466.23394775390625,307.4179992675781,307.109130859375,0.7656087279319763
7,649,299.5199890136719,531.423095703125,464.8131103515625,298.9549560546875,299.0165100097656,1.1300901174545288
7,699,274.2013854980469,517.6050415039062,487.9414978027344,273.75927734375,273.6343078613281,0.8842062950134277
8,749,337.0606384277344,560.4970703125,452.080322265625,336.48431396484375,334.4569091796875,1.1526721715927124
8,799,335.38079833984375,559.9872436523438,453.5906066894531,334.9620056152344,333.1919250488281,0.8375639915466309
9,849,314.357666015625,528.2687377929688,430.1181945800781,313.8155212402344,313.2096252441406,1.084283709526062
9,899,14.886905670166016,28.780088424682617,28.48446273803711,14.483745574951172,14.537857055664062,0.8063198924064636
