epoch,step,train_loss_Ph,train_loss_W,train_nonsucc_W,train_reconstr_Ph,train_reconstr_W,train_sparsity_Ph
0,49,518.6326293945312,790.2573852539062,577.4738159179688,517.0343627929688,501.5204772949219,3.196528911590576
1,99,493.896484375,759.7376098632812,541.78564453125,493.485107421875,488.84478759765625,0.8227330446243286
1,149,537.50732421875,821.0399169921875,569.1250610351562,537.1213989257812,536.4774169921875,0.7718961834907532
2,199,330.8606262207031,607.0729370117188,553.7316284179688,330.2818603515625,330.2071228027344,1.1575449705123901
2,249,498.4338073730469,758.97607421875,522.363037109375,498.0422668457031,497.7945861816406,0.7830699682235718
3,299,520.8026123046875,763.8876342773438,487.2095642089844,520.3165283203125,520.2828369140625,0.9722262024879456
3,349,396.7070007324219,688.0758056640625,585.375732421875,395.9786071777344,395.387939453125,1.4568166732788086
4,399,444.56427001953125,689.2227172851562,491.4400634765625,443.7400817871094,443.502685546875,1.6483463048934937
4,449,18.540050506591797,29.807601928710938,23.92091178894043,17.863094329833984,17.847145080566406,1.353912591934204
5,499,487.9424743652344,727.46630859375,482.7501220703125,487.15869140625,486.09124755859375,1.5675544738769531
6,549,538.0145874023438,764.94873046875,456.9541320800781,537.2611083984375,536.4716796875,1.5069619417190552
6,599,580.333251953125,815.9244995117188,473.0833435058594,579.708984375,579.3828125,1.2485158443450928
7,649,372.86602783203125,605.7661743164062,466.83038330078125,372.0169677734375,372.3509826660156,1.6981194019317627
7,699,546.6613159179688,760.6322021484375,429.6701354980469,545.9876708984375,545.797119140625,1.347235918045044
8,749,550.435546875,752.5394897460938,406.5105285644531,549.6661987304688,549.2842407226562,1.538712501525879
8,799,351.782470703125,596.463623046875,492.375732421875,351.1852111816406,350.2757263183594,1.1945407390594482
9,849,398.8087463378906,601.1200561523438,406.272216796875,398.1210021972656,397.98394775390625,1.3754948377609253
9,899,15.281305313110352,23.9541072845459,18.413562774658203,14.75202465057373,14.747325897216797,1.0585613250732422
