epoch,step,train_loss_Ph,train_loss_W,train_nonsucc_W,train_reconstr_Ph,train_reconstr_W,train_sparsity_Ph
0,49,735.8076171875,1187.0533447265625,974.5867309570312,733.0814819335938,699.760009765625,5.45225715637207
1,99,328.09808349609375,825.0173950195312,995.6221313476562,327.5964660644531,327.2063293457031,1.003241777420044
1,149,415.66339111328125,883.0517578125,933.0350341796875,414.72998046875,416.5342712402344,1.8668009042739868
2,199,384.206787109375,831.4473266601562,898.5440063476562,383.243896484375,382.1753234863281,1.9257522821426392
2,249,371.3299255371094,823.6329345703125,908.5597534179688,370.4725646972656,369.3530578613281,1.7147088050842285
3,299,402.1981201171875,843.5257568359375,885.4329223632812,401.35101318359375,400.80926513671875,1.6942338943481445
3,349,404.97015380859375,828.8007202148438,858.3955688476562,404.27471923828125,399.6029357910156,1.3908650875091553
4,399,380.41180419921875,808.2938232421875,859.7074584960938,379.5845642089844,378.4400634765625,1.6544886827468872
4,449,19.55075454711914,45.719139099121094,53.5839958190918,18.899566650390625,18.927139282226562,1.3023772239685059
5,499,331.1789245605469,734.2020874023438,811.1150512695312,330.3876647949219,328.6445617675781,1.582495927810669
6,549,361.0753173828125,781.016845703125,841.9743041992188,360.32354736328125,360.0296936035156,1.5035260915756226
6,599,337.3172607421875,722.177490234375,771.9212036132812,336.72857666015625,336.2169189453125,1.1773548126220703
7,649,320.96124267578125,694.2640380859375,749.6598510742188,320.1982727050781,319.4341125488281,1.525945782661438
7,699,309.1817932128906,683.7115478515625,752.135009765625,308.5480041503906,307.6440734863281,1.2675912380218506
8,749,346.0798645019531,713.6390380859375,737.2968139648438,345.4367370605469,344.99066162109375,1.2862435579299927
8,799,344.1136474609375,693.505615234375,706.0784912109375,343.61175537109375,340.4664001464844,1.0037716627120972
9,849,322.469482421875,676.915283203125,712.43359375,321.8406066894531,320.6985168457031,1.2577526569366455
9,899,16.030118942260742,37.23701477050781,43.47909164428711,15.53761100769043,15.497467994689941,0.9850142598152161
