epoch,step,train_loss_Ph,train_loss_W,train_nonsucc_W,train_reconstr_Ph,train_reconstr_W,train_sparsity_Ph
0,49,726.7784423828125,1178.083251953125,959.9559326171875,723.9215087890625,698.1052856445312,5.713861465454102
1,99,336.0724792480469,818.0762939453125,975.196533203125,335.5557861328125,330.4780578613281,1.0333642959594727
1,149,312.2987976074219,772.576416015625,922.0675659179688,311.94189453125,311.54266357421875,0.7137998938560486
2,199,300.4396667480469,736.2572021484375,873.3488159179688,299.92230224609375,299.58282470703125,1.0347157716751099
2,249,277.9081726074219,734.2677612304688,915.4847412109375,277.43682861328125,276.525390625,0.9426751136779785
3,299,364.60003662109375,815.7366943359375,898.8659057617188,363.92779541015625,366.30377197265625,1.3444586992263794
3,349,328.9044189453125,779.7760620117188,910.8048095703125,328.5692138671875,324.3736572265625,0.6703944802284241
4,399,321.4376525878906,749.40966796875,859.2196044921875,320.91326904296875,319.7998962402344,1.0487385988235474
4,449,22.67011833190918,53.124969482421875,62.704833984375,21.87971305847168,21.772552490234375,1.5808097124099731
5,499,284.047607421875,682.4102783203125,800.53857421875,283.4855041503906,282.1410217285156,1.1242072582244873
6,549,322.4565124511719,730.991943359375,824.0406494140625,321.9497375488281,318.9716491699219,1.0135468244552612
6,599,313.86846923828125,694.0296020507812,762.8970947265625,313.4775390625,312.5810546875,0.7818831205368042
7,649,300.3662109375,664.0701904296875,728.5098266601562,299.7894287109375,299.8152770996094,1.1535425186157227
7,699,465.9307556152344,843.3003540039062,758.9575805664062,464.37078857421875,463.8215637207031,3.1199638843536377
8,749,502.54461669921875,877.1041259765625,752.5902099609375,500.9510192871094,500.8090515136719,3.1871886253356934
8,799,509.0712890625,882.380859375,754.96826171875,507.6172180175781,504.8966979980469,2.9081432819366455
9,849,503.3003845214844,856.5635375976562,711.339111328125,501.7026062011719,500.89398193359375,3.195556879043579
9,899,30.359283447265625,55.09233093261719,52.26778030395508,28.893489837646484,28.958438873291016,2.931586503982544
10,949,452.1318359375,779.0556030273438,658.4271240234375,450.5318298339844,449.842041015625,3.1999869346618652
11,999,484.072265625,823.738037109375,684.2495727539062,482.48419189453125,481.6132507324219,3.1761293411254883
11,1049,471.7308654785156,778.3223876953125,617.2466430664062,470.28729248046875,469.6990661621094,2.887129306793213
12,1099,453.0633544921875,748.7183837890625,594.8804931640625,451.39208984375,451.2781677246094,3.342541456222534
12,1149,437.37188720703125,743.7844848632812,615.8795166015625,435.849609375,435.8447265625,3.044578790664673
13,1199,474.98516845703125,781.6082763671875,617.0274047851562,473.39447021484375,473.09454345703125,3.181391716003418
13,1249,476.9918212890625,779.123291015625,611.5584716796875,475.56134033203125,473.3440856933594,2.8609542846679688
14,1299,475.32684326171875,760.43212890625,574.5812377929688,473.76904296875,473.14154052734375,3.1155717372894287
14,1349,28.401430130004883,48.40039825439453,42.6745491027832,26.981672286987305,27.063121795654297,2.8395144939422607
15,1399,422.71075439453125,685.518798828125,529.884765625,421.148681640625,420.5763854980469,3.1241753101348877
16,1449,456.6170959472656,731.0643920898438,554.06201171875,455.0687255859375,454.03338623046875,3.096766471862793
16,1499,441.20526123046875,682.4600830078125,486.7181396484375,439.8037109375,439.10101318359375,2.8030712604522705
17,1549,423.9917907714844,659.2672119140625,473.9917907714844,422.34588623046875,422.2713317871094,3.29179310798645
17,1599,404.8345642089844,647.698974609375,487.99676513671875,403.3692626953125,403.7005615234375,2.9306280612945557
18,1649,445.6441345214844,690.964111328125,494.81427001953125,444.0672912597656,443.5570068359375,3.1536834239959717
18,1699,442.6003112792969,680.9909057617188,483.9825134277344,441.21539306640625,438.9996643066406,2.7698252201080322
19,1749,446.1588134765625,670.0436401367188,452.6587219238281,444.6530456542969,443.7142639160156,3.0115246772766113
19,1799,26.047319412231445,41.89643859863281,34.269378662109375,24.695724487304688,24.761751174926758,2.7031893730163574
20,1849,390.3092041015625,596.405029296875,416.7242431640625,388.8105163574219,388.04290771484375,2.997375965118408
21,1899,425.7900390625,642.4918212890625,438.2557373046875,424.31256103515625,423.36395263671875,2.9549453258514404
21,1949,406.8933410644531,591.752685546875,373.7576904296875,405.54974365234375,404.8738098144531,2.6871910095214844
22,1999,392.2408142089844,574.6851806640625,368.6587219238281,390.64080810546875,390.3558349609375,3.2000234127044678
22,2049,371.2832336425781,558.9471435546875,377.86529541015625,369.89361572265625,370.0144958496094,2.779249906539917
23,2099,502.7860412597656,700.7330932617188,388.9309387207031,500.697509765625,506.26763916015625,4.1770339012146
23,2149,558.24951171875,741.6307983398438,374.5003662109375,555.92578125,554.380615234375,4.647449493408203
24,2199,543.8894653320312,713.35595703125,347.4717102050781,541.4475708007812,539.6201171875,4.883846759796143
24,2249,34.180419921875,45.46946716308594,26.888324737548828,31.997161865234375,32.025306701660156,4.366518020629883
25,2299,483.48162841796875,639.7415771484375,319.181640625,481.18670654296875,480.1507263183594,4.589818954467773
26,2349,522.2916259765625,687.9691772460938,337.2893981933594,520.0713500976562,519.324462890625,4.440540313720703
26,2399,465.6289978027344,601.7993774414062,277.6303405761719,463.56414794921875,462.9842224121094,4.129710674285889
27,2449,456.0901794433594,592.8286743164062,278.69744873046875,453.86529541015625,453.4799499511719,4.449743270874023
27,2499,434.3365173339844,574.0714111328125,283.3705139160156,432.38763427734375,432.3861389160156,3.8977723121643066
28,2549,469.87042236328125,615.311767578125,296.4919738769531,467.7596435546875,467.0657653808594,4.22153377532959
28,2599,451.077880859375,589.1726684570312,281.8210144042969,449.2520751953125,448.2621765136719,3.6516330242156982
29,2649,443.72625732421875,569.140869140625,256.6375732421875,441.7445373535156,440.82208251953125,3.963433265686035
29,2699,26.125240325927734,34.6676025390625,20.516307830810547,24.415403366088867,24.409446716308594,3.4196720123291016
30,2749,382.6313781738281,497.9749755859375,235.896240234375,380.796630859375,380.02685546875,3.6695001125335693
31,2799,422.6817932128906,544.6844482421875,249.19454956054688,420.9832763671875,420.0871887207031,3.3970305919647217
31,2849,369.25506591796875,465.9756774902344,197.80029296875,367.5997009277344,367.0755310058594,3.310728073120117
32,2899,361.24664306640625,460.91778564453125,203.0251922607422,359.4947509765625,359.4051818847656,3.5037569999694824
32,2949,341.6862487792969,442.60296630859375,205.14706420898438,340.1183166503906,340.0294189453125,3.1358628273010254
33,2999,383.8611755371094,491.1697998046875,218.78549194335938,382.1162109375,381.7770690917969,3.489941358566284
33,3049,361.46038818359375,462.94281005859375,207.1072998046875,359.9449768066406,359.38916015625,3.030796527862549
34,3099,363.9978942871094,453.9632873535156,183.8841552734375,362.2980041503906,362.0212097167969,3.399789810180664
34,3149,20.561492919921875,26.684677124023438,15.206650733947754,19.093645095825195,19.08135223388672,2.9356956481933594
35,3199,312.0928955078125,394.57244873046875,169.18008422851562,310.4776306152344,309.9823913574219,3.230534315109253
36,3249,351.82318115234375,440.1197814941406,180.3294677734375,350.3813781738281,349.9550476074219,2.8835792541503906
36,3299,307.4119567871094,374.0928039550781,137.5460205078125,305.88330078125,305.3197937011719,3.0573129653930664
37,3349,301.76983642578125,373.0424499511719,145.6368408203125,300.3211364746094,300.2240295410156,2.89739990234375
37,3399,285.5045166015625,356.8059387207031,145.7232208251953,284.0274353027344,283.9443359375,2.954148530960083
38,3449,324.89190673828125,402.7447814941406,158.6993408203125,323.4208068847656,323.3951110839844,2.9421730041503906
38,3499,302.4695129394531,376.26654052734375,151.22726440429688,301.05718994140625,300.6529235839844,2.8246254920959473
39,3549,305.4931640625,368.8675537109375,129.90037536621094,303.9991760253906,303.9173583984375,2.9879844188690186
39,3599,17.01946449279785,21.164243698120117,11.031065940856934,15.676735877990723,15.648710250854492,2.685457706451416
40,3649,259.8210754394531,317.518310546875,119.05197143554688,258.3428649902344,257.9923400878906,2.956402540206909
41,3699,296.5436096191406,360.0499572753906,130.20738220214844,295.2358703613281,294.9462585449219,2.6154673099517822
41,3749,259.2846984863281,304.9847412109375,95.17330932617188,257.8670654296875,257.3981018066406,2.835294246673584
42,3799,257.0658874511719,308.1907653808594,105.04052734375,255.7496337890625,255.67050170898438,2.6324830055236816
42,3849,240.98663330078125,290.88641357421875,102.656982421875,239.61524963378906,239.5579071044922,2.742764949798584
43,3899,281.1297302246094,337.3739929199219,115.06073760986328,279.77252197265625,279.8436279296875,2.7144370079040527
43,3949,259.3357238769531,313.5033874511719,111.843017578125,258.0139465332031,257.5818786621094,2.6435282230377197
44,3999,261.115966796875,306.22344970703125,92.87496948242188,259.7266540527344,259.7859802246094,2.7786192893981934
