epoch,step,train_loss_Ph,train_loss_W,train_nonsucc_W,train_reconstr_Ph,train_reconstr_W,train_sparsity_Ph
0,49,750.4440307617188,1019.0515747070312,578.6226806640625,747.787841796875,729.740234375,5.312412261962891
1,99,371.443359375,648.9127197265625,558.3111572265625,370.73419189453125,369.7571105957031,1.4183179140090942
1,149,350.12261962890625,627.5982666015625,557.005126953125,349.5538635253906,349.095703125,1.13751220703125
2,199,328.2755126953125,594.4798583984375,534.55810546875,327.5705261230469,327.2008361816406,1.4099658727645874
2,249,309.0245056152344,603.7540283203125,591.8348999023438,308.47747802734375,307.8365478515625,1.0940521955490112
3,299,348.7231140136719,600.7417602539062,506.0313720703125,348.11517333984375,347.72607421875,1.2158608436584473
3,349,339.00396728515625,596.9593505859375,521.0888061523438,338.56231689453125,336.41497802734375,0.8833245635032654
4,399,320.640869140625,582.9373779296875,526.9284057617188,320.1083984375,319.47314453125,1.0649267435073853
4,449,14.305262565612793,29.615644454956055,31.309377670288086,13.914907455444336,13.960955619812012,0.7807108163833618
5,499,276.8377685546875,518.502197265625,485.736572265625,276.3514709472656,275.6338806152344,0.9725743532180786
6,549,317.6935119628906,552.7543334960938,473.0467834472656,317.2200927734375,316.23095703125,0.9468539953231812
6,599,292.1868896484375,524.6531982421875,465.5832214355469,291.80560302734375,291.8616027832031,0.7625473737716675
7,649,286.306396484375,511.14886474609375,451.6447448730469,285.7494201660156,285.3265075683594,1.113966464996338
7,699,276.45660400390625,524.7371826171875,497.84674072265625,275.9989318847656,275.8138122558594,0.9153358340263367
8,749,334.40399169921875,546.605224609375,426.9326171875,333.8367919921875,333.1389465332031,1.134374976158142
8,799,324.2134094238281,539.0641479492188,434.2506408691406,323.7993469238281,321.9388427734375,0.8281405568122864
9,849,359.7417907714844,580.6751708984375,442.6794738769531,358.9648742675781,359.3354187011719,1.5538411140441895
9,899,18.29995346069336,30.691226959228516,26.016326904296875,17.62357521057129,17.683063507080078,1.3527545928955078
