epoch,step,train_loss_Ph,train_loss_W,train_nonsucc_W,train_reconstr_Ph,train_reconstr_W,train_sparsity_Ph
0,49,862.4710083007812,1331.22021484375,1001.56787109375,859.0278930664062,830.436279296875,6.886246204376221
1,99,359.8834228515625,828.3953247070312,941.0799560546875,359.2751770019531,357.8553466796875,1.2164949178695679
1,149,305.21160888671875,795.15966796875,970.2617797851562,304.8064270019531,310.0287780761719,0.8103517293930054
2,199,297.428955078125,742.8654174804688,891.1463623046875,296.9192199707031,297.292236328125,1.0194852352142334
2,249,281.1000671386719,738.7582397460938,917.724853515625,280.62890625,279.89581298828125,0.9423320293426514
3,299,424.5846862792969,855.1696166992188,863.8528442382812,423.6107482910156,423.2431945800781,1.9478719234466553
3,349,401.2338562011719,828.7154541015625,867.4798583984375,400.527587890625,394.97552490234375,1.4125087261199951
4,399,361.0610656738281,795.474853515625,872.4691162109375,360.3614501953125,359.24029541015625,1.3992335796356201
4,449,17.729204177856445,43.5841178894043,52.74169158935547,17.233428955078125,17.213272094726562,0.9915497899055481
5,499,280.8275451660156,698.7084350585938,838.9888305664062,280.28485107421875,279.2140197753906,1.085378885269165
6,549,319.147705078125,713.6959228515625,792.70068359375,318.6234130859375,317.3456115722656,1.0485587120056152
6,599,308.698486328125,711.6651611328125,808.1385498046875,308.3260192871094,307.5958557128906,0.7449139356613159
7,649,298.1358642578125,670.0255737304688,745.16748046875,297.5635986328125,297.44183349609375,1.144518256187439
7,699,277.8886413574219,657.9569091796875,761.3006591796875,277.4024658203125,277.3066101074219,0.972328782081604
8,749,366.5210876464844,729.4561767578125,720.23779296875,365.74615478515625,369.3373107910156,1.549865484237671
8,799,356.8686218261719,709.937744140625,714.210693359375,356.28521728515625,352.8324279785156,1.1668214797973633
9,849,318.10052490234375,680.4765625,726.92041015625,317.55322265625,317.0163269042969,1.0946162939071655
9,899,15.421845436096191,36.65541458129883,43.24222946166992,15.017522811889648,15.034299850463867,0.8086450099945068
