epoch,step,train_loss_Ph,train_loss_W,train_nonsucc_W,train_reconstr_Ph,train_reconstr_W,train_sparsity_Ph
0,49,570.667236328125,840.41748046875,572.0989379882812,568.8681030273438,554.3679809570312,3.598249673843384
1,99,327.9407043457031,598.8336791992188,544.76953125,327.468017578125,326.44891357421875,0.94536292552948
1,149,310.8760070800781,585.6729125976562,551.0040283203125,310.5362548828125,310.1708984375,0.6794753074645996
2,199,282.36871337890625,537.8505249023438,515.4558715820312,281.854736328125,280.1225891113281,1.0279239416122437
2,249,277.2398376464844,555.7291870117188,556.507080078125,276.8120422363281,277.47564697265625,0.8555629849433899
3,299,345.5745544433594,616.2819213867188,543.367919921875,344.9631042480469,344.59796142578125,1.2228727340698242
3,349,325.89434814453125,575.89208984375,510.20147705078125,325.5203857421875,320.79132080078125,0.7479423880577087
4,399,318.8407287597656,586.2982177734375,526.7868041992188,318.3291931152344,322.9048156738281,1.0230900049209595
4,449,16.537677764892578,32.737545013427734,33.17021942138672,16.11478042602539,16.152435302734375,0.8457930684089661
5,499,279.33807373046875,517.7633666992188,479.3368835449219,278.845947265625,278.0949401855469,0.9842371940612793
6,549,320.09173583984375,547.8525390625,462.0576477050781,319.6052551269531,316.8236999511719,0.9729881882667542
6,599,289.91815185546875,518.7718505859375,459.5327453613281,289.5412902832031,289.0054931640625,0.7537000775337219
7,649,280.29541015625,496.4139404296875,433.53582763671875,279.72271728515625,279.6460266113281,1.1453895568847656
7,699,345.3422546386719,580.0615844726562,464.8974609375,344.53131103515625,347.61285400390625,1.6218996047973633
8,749,410.01373291015625,637.602294921875,458.7676696777344,408.9810485839844,408.21844482421875,2.0653796195983887
8,799,396.36749267578125,605.3372802734375,423.8701477050781,395.5321350097656,393.4022216796875,1.6707161664962769
9,849,385.8141784667969,605.8673706054688,442.9212951660156,384.8919982910156,384.40673828125,1.8443427085876465
9,899,19.94867515563965,32.93998718261719,27.31108856201172,19.237545013427734,19.284440994262695,1.4222601652145386
