epoch,step,train_loss_Ph,train_loss_W,train_nonsucc_W,train_reconstr_Ph,train_reconstr_W,train_sparsity_Ph
0,49,583.86572265625,856.67431640625,580.2120971679688,581.9733276367188,566.5682983398438,3.7848331928253174
1,99,338.8896179199219,614.8609619140625,543.3729858398438,338.3672790527344,343.17449951171875,1.0446922779083252
1,149,312.767822265625,577.3685302734375,530.6939697265625,312.41033935546875,312.0215759277344,0.7149960398674011
2,199,287.4503479003906,566.27099609375,559.5467529296875,286.9075012207031,286.49761962890625,1.0856924057006836
2,249,282.3619689941406,555.24462890625,547.498046875,281.952880859375,281.49560546875,0.8181719779968262
3,299,384.4146423339844,647.4376220703125,528.7908935546875,383.61126708984375,383.0421447753906,1.606750249862671
3,349,364.5174865722656,619.01318359375,514.4735717773438,363.93316650390625,361.77642822265625,1.1686302423477173
4,399,329.2320861816406,580.5565185546875,506.30279541015625,328.659912109375,327.4051208496094,1.1443675756454468
4,449,15.73542594909668,31.284568786621094,31.77598762512207,15.333740234375,15.396574020385742,0.8033705353736877
5,499,278.4052429199219,519.9391479492188,485.740966796875,277.9146728515625,277.06866455078125,0.9811182618141174
6,549,323.6815490722656,548.4391479492188,459.9156494140625,323.2029724121094,318.4813232421875,0.9571727514266968
6,599,292.2541198730469,511.5067138671875,440.21282958984375,291.86328125,291.4002990722656,0.7816832661628723
7,649,309.1574401855469,547.6720581054688,474.7727966308594,308.50347900390625,310.28564453125,1.307952642440796
7,699,289.1510314941406,516.9691162109375,457.4356689453125,288.6653137207031,288.25128173828125,0.9714060425758362
8,749,340.3202209472656,560.8881225585938,445.8785095214844,339.7113342285156,337.9488525390625,1.2177940607070923
8,799,323.68780517578125,537.455322265625,427.1319274902344,323.21563720703125,323.88934326171875,0.9443645477294922
9,849,307.1529541015625,517.47216796875,423.2486267089844,306.6200866699219,305.8478698730469,1.0657614469528198
9,899,14.373278617858887,27.180313110351562,26.247480392456055,13.971467971801758,14.056572914123535,0.8036215305328369
