epoch,step,train_loss_Ph,train_loss_W,train_nonsucc_W,train_reconstr_Ph,train_reconstr_W,train_sparsity_Ph
0,49,609.3722534179688,867.9376220703125,561.7750244140625,607.0850830078125,587.0501098632812,4.574357032775879
1,99,322.7348937988281,604.052978515625,568.00341796875,322.2837219238281,320.05126953125,0.9023257493972778
1,149,313.4138488769531,606.2019653320312,587.0713500976562,313.06585693359375,312.6662902832031,0.6959550976753235
2,199,296.99884033203125,555.95458984375,518.9778442382812,296.4799499511719,296.4656982421875,1.0377755165100098
2,249,283.59197998046875,563.6380615234375,561.637451171875,283.16619873046875,282.8193054199219,0.851568877696991
3,299,343.59661865234375,603.2277221679688,521.4605102539062,343.0609130859375,342.4974670410156,1.0714225769042969
3,349,341.918701171875,606.243896484375,534.0792846679688,341.5536804199219,339.2042541503906,0.730010986328125
4,399,312.9371643066406,565.7994995117188,508.1692810058594,312.4671630859375,311.71484375,0.9399895668029785
4,449,15.362930297851562,34.35353469848633,38.559165954589844,15.000333786010742,15.073952674865723,0.7251936197280884
5,499,267.2021484375,501.2633972167969,469.5103759765625,266.7264099121094,266.5082092285156,0.9514911770820618
6,549,318.7010498046875,557.9202880859375,483.9774475097656,318.23590087890625,315.93157958984375,0.9302847981452942
6,599,308.1544494628906,553.2637939453125,492.09552001953125,307.7789611816406,307.2160339355469,0.7509531378746033
7,649,293.3692626953125,511.567138671875,437.311279296875,292.8078308105469,292.9114990234375,1.1228386163711548
7,699,280.90289306640625,516.3505859375,471.58203125,280.4359436035156,280.5595703125,0.9339080452919006
8,749,341.0108947753906,561.0584716796875,442.519287109375,340.38623046875,339.7988586425781,1.2493318319320679
8,799,335.53509521484375,556.8096923828125,446.56304931640625,335.1211242675781,333.5281677246094,0.8279446959495544
9,849,313.93023681640625,525.292724609375,426.9766845703125,313.38299560546875,311.8043518066406,1.094475507736206
9,899,14.860757827758789,30.67950439453125,32.2892951965332,14.467056274414062,14.534856796264648,0.78740394115448
